Year,Season,Men,Women
1896,1,241,0
1898,0,0,0
1900,1,975,22
1902,0,0,0
1904,1,645,6
1906,0,0,0
1908,1,1971,37
1910,0,0,0
1912,1,2359,47
1914,0,0,0
1916,1,0,0
1918,0,0,0
1920,1,2561,65
1922,0,0,0
1924,1,2954,135
1924,-1,247,11
1926,0,0,0
1928,1,2606,277
1928,-1,438,26
1930,0,0,0
1932,1,1206,126
1932,-1,231,21
1934,0,0,0
1936,1,3632,331
1936,-1,566,80
1938,0,0,0
1940,1,0,0
1940,-1,0,0
1942,0,0,0
1944,1,0,0
1944,-1,0,0
1946,0,0,0
1948,1,3714,390
1948,-1,592,77
1950,0,0,0
1952,1,4436,519
1952,-1,585,109
1954,0,0,0
1956,1,2938,376
1956,-1,687,134
1958,0,0,0
1960,1,4727,611
1960,-1,521,144
1962,0,0,0
1964,1,4473,678
1964,-1,892,199
1966,0,0,0
1968,1,4735,781
1968,-1,947,211
1970,0,0,0
1972,1,6075,1059
1972,-1,801,205
1974,0,0,0
1976,1,4824,1260
1976,-1,892,231
1978,0,0,0
1980,1,4064,1115
1980,-1,840,232
1982,0,0,0
1984,1,5263,1566
1984,-1,998,274
1986,0,0,0
1988,1,6197,2194
1988,-1,1122,301
1990,0,0,0
1992,1,6652,2704
1992,-1,1313,488
1994,-1,1215,522
1996,1,6797,3523
1998,-1,1389,787
2000,1,6582,4069
2002,-1,1513,886
2004,1,6296,4329
2006,-1,1548,960
2008,1,6305,4637
2010,-1,1522,1044
2012,1,5992,4776
2014,-1,1714,1159
2016,1,?,?
2018,-1,1680,1242
